рубрика,исполнитель,песня,имя,ссылка,доп аккорды,id
детские песни,"из к/ф ""красная шапочка""",песня звездочета,,https://123.amdm.ru/akkordi/detskie_pesni/172710/pesenka_zvezdocheta_iz_kf_krasnaya_shapochka/,,wyu2yq
детские песни,"из к/ф ""красная шапочка""",песня красной шапочки (если долго-долго-долго),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14767/pesenka_krasnoy_shapochki_kf_pro_krasnuy_shapochku/,,sfc62b
детские песни,"из к/ф ""маленький мук""",дорога добра (спроси у жизни строгой),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/94949/doroga_dobra_iz_kf_priklycheniya_malenkogo_muka/,,bq83tk
детские песни,"из к/ф ""мэри поппинс, до свиданья""",33 коровы,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/102185/33_korovi_hf_meri_poppins_do_svidanya/,,um2e50
детские песни,"из к/ф ""мэри поппинс, до свиданья""",непогода,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14739/nepogoda_kf_meri_poppins_do_svidanya/,,rrh8f6
детские песни,"из к/ф ""мэри поппинс, до свиданья""",леди совершенство,,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/176084/ledi_sovershenstvo_iz_kf_meri_poppins_do_svidaniya/#:~:text=Em%20Am%20Dm7%20G%20%D0%9C%D1%8D,E%20%D0%97%D0%BD%D0%B0%D1%82%D1%8C%2C%20%D1%87%D1%82%D0%BE%20%D1%8F%20%D0%B8%D0%B4%D0%B5%D0%B0%D0%BB.",,zu7wsq
детские песни,"из к/ф ""приключения электроника""","ты человек ты же сильный, смелый",,https://123.amdm.ru/akkordi/detskie_pesni/100878/ti_chelovek/,,eqbgxx
детские песни,"из к/ф ""приключения электроника""",до чего дошёл прогресс,,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15353/do_chego_doshel_progress_kf_priklycheniya_elektronika/#:~:text=Am%20%D0%94%D0%BE%20%D1%87%D0%B5%D0%B3%D0%BE%20%D0%B4%D0%BE%D1%88%D0%B5%D0%BB%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B5%D1%81%D1%81%2C%20Dm%20%D0%91%D1%8B%D0%BB%D0%BE%20%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8%20%D0%B2%20%D0%BE%D0%B1%D1%80%D0%B5%D0%B7,%D0%92%D0%BA%D0%B0%D0%BB%D1%8B%D0%B2%D0%B0%D1%8E%D1%82%20%D1%80%D0%BE%D0%B1%D0%BE%D1%82%D1%8B%2C%20%D0%B0%20%D0%BD%D0%B5%20%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA.",,znypd0
детские песни,"из к/ф ""приключения электроника""",крылатые качели,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/15374/krilatie_kacheli_kf_priklycheniya_elektronika/,,e5ls65
детские песни,"из м/ф ""бременские музыканты""",ничего на свете лучше нету,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/174801/nichego_na_svete_luchshe_netu_mf_bremenskie_muzikanti/,,7gmgwv
детские песни,"из м/ф ""бременские музыканты""","говорят, мы бяки-буки",,https://123.amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/113840/govoryat_mi_byaki_buki_mf_bremenskie_muzikanti/,,jn1sub
детские песни,"из м/ф ""голубой щенок""",песня рыбы-пилы ,,https://123.amdm.ru/akkordi/aleksandr_gradskiy/161577/pesnya_ribi_pili/,,3d1zet
детские песни,"из м/ф ""голубой щенок""",ария голубого щенка (неужели из-за масти),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/94460/pesnya_golubogo_schenka/,,r77p4f
детские песни,"из м/ф ""голубой щенок""",песня кота и пирата (я и ты такие разные),,https://meddiator.ru/pesnya-kota-i-pirata.html,,c7rbc9
детские песни,"из м/ф ""крокодил гена""",песня крокодила гены (пусть бегут неуклюже),,https://3akkorda.net/pust-begut-neuklyuzhe/,,23g7xf
детские песни,"из м/ф ""крокодил гена""",песня чебурашки ,,https://123.amdm.ru/akkordi/detskie_pesni/148149/pro_cheburashku/,,948fi3
детские песни,"из м/ф ""крокодил гена""",голубой вагон (медленно минуты уплывают в даль),,https://www.5lad.ru/akkordy/detskie-pesni/goluboj-vagon,,7tekfk
детские песни,миансарова,летка-енка (прыг-скок утром на лужок),тамара,https://lyricsworld.ru/Tamara-Miansarova/Letka-enka-645156.html,,vomutx
детские песни,сохадзе,оранжевая песенка,ирма,https://www.5lad.ru/akkordy/detskie-pesni/oranzhevaya-pesnya,,gb3xu3
детские песни,шаинский,учат в школе,владимир,http://www.notarhiv.ru/detskie/stranizi10/Chemuuchatvshkole.html,,iox1p0
детские песни,шаинский,чунга-чанга ,владимир,https://123.amdm.ru/akkordi/detskie_pesni/101370/chunga_changa/,,o5mgz0
детские песни,шаинский,если с другом вышел в путь,владимир,https://123.amdm.ru/akkordi/prikluchenia_elektronikov/5465/esli_s_drugom_vishel_v_put/,,f3iky9
детские песни,шаинский ,вместе весело шагать ,владимир,https://123.amdm.ru/akkordi/raznye_pesni/23731/vmeste_veselo_shagat/,,gk8lhb
детские песни,,пусть всегда будет (солнечный круг),,https://123.amdm.ru/akkordi/raznye_pesni/23538/pust_vsegda_budet_solnce/,,u6p93g
зарубежное,арди,le temps de lamour,франсуаза,https://tabs.ultimate-guitar.com/tab/1429385,,lny8b7
зарубежное,битлз,let it be,,https://123.amdm.ru/akkordi/beatles/147695/let_it_be/,,qgcrzj
зарубежное,битлз,obladi-oblada,,https://123.amdm.ru/akkordi/beatles/28344/ob_la_di_ob_la_da/,,uq3p4x
зарубежное,битлз,help,,https://123.amdm.ru/akkordi/beatles/4951/help/,,2wj5sq
зарубежное,битлз,all my loving,,https://123.amdm.ru/akkordi/beatles/784/all_my_loving/,,zfoyuc
зарубежное,битлз,michelle,,https://123.amdm.ru/akkordi/the_beatles/102165/michelle/,,vchqvh
зарубежное,битлз,hey jude,,https://123.amdm.ru/akkordi/the_beatles/2717/hey_jude/,,v7hkrh
зарубежное,битлз,yellow submarine,,https://123.amdm.ru/akkordi/the_beatles/90595/yellow_submarine/,,a5431m
зарубежное,битлз,yesterday,,https://123.amdm.ru/akkordi/the_beatles/93165/yesterday/,,h9xo9i
зарубежное,битлз,when i'm sixty four,,https://tabs.ultimate-guitar.com/tab/the-beatles/when-im-sixty-four-chords-436893,,rc7zx2
зарубежное,вайт страйпс,seven nation army ,,https://123.amdm.ru/akkordi/white_stripes/87722/seven_nation_army/,,jl53j3
зарубежное,веласкес торрес,besame mucho,консуэло,https://123.amdm.ru/akkordi/raznye_pesni/5656/besame_mucho/,,iulqn6
зарубежное,гоголь борделло,start wearing purple,,https://tabs.ultimate-guitar.com/tab/gogol-bordello/start-wearing-purple-chords-688719,,xwsgam
зарубежное,джон,yellow brick road,элтон,https://123.amdm.ru/akkordi/elton_john/104328/goodbye_yellow_brick_road/,,wg4les
зарубежное,джон,can you feel the love tonight,элтон,https://123.amdm.ru/akkordi/elton_john/51120/can_you_feel_the_love_tonight/,,toi3yo
зарубежное,джон,your song,элтон,https://123.amdm.ru/akkordi/elton_john/51182/your_song/,,f1rino
зарубежное,"из к/ф ""звуки музыки""",favourite things,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/139577/my_favorite_things_ost_sound_of_music/,,ymsbrm
зарубежное,"из рок-оперы ""иисус христос суперзвезда""","i don't know, how to love him",,https://mytabs.ru/akkordy/h/helen-reddy/i-dont-know-how-to-love-him-2_188019.html,,kn589i
зарубежное,илвис,what does the fox say?,,https://123.amdm.ru/akkordi/ylvis/141701/what_does_the_fox_say/,,wzlqc9
зарубежное,кисс,i was made for loving you baby,,https://123.amdm.ru/akkordi/kiss/137579/i_was_made_for_lovin_you/,,uqxk3a
зарубежное,леди гага ,poker face ,,https://123.amdm.ru/akkordi/lady_gaga/97388/poker_face/,,fijbnd
зарубежное,пиксис,where is my mind?,,https://123.amdm.ru/akkordi/pixies/70865/where_is_my_mind/,,uep3q3
зарубежное,пинк флойд,another brick in the wall (we don't need no education),,https://123.amdm.ru/akkordi/pink_floyd/17289/another_brick_in_the_wall_pt_2/,,fyhafa
зарубежное,рыбак,fairytale,александр,https://123.amdm.ru/akkordi/aleksandr_ribak/103035/fairytale/,,ro2y18
зарубежное,стромае,tout les memes ,,https://123.amdm.ru/akkordi/stromae/106815/tous_les_memes/,,mqqx83
зарубежное,стромае,алёна даст,,https://123.amdm.ru/akkordi/stromae/112042/alors_on_danse/,,vcv437
зарубежное,стрэнглерс,golden brown ,,https://123.amdm.ru/akkordi/stranglers/81549/golden_brown/,,3ts2jc
зарубежное,фиджеральд,dream a little dream of me,элла,https://123.amdm.ru/akkordi/ella_fitzgerald/136230/dream_a_little_dream_of_me/,,3falob
зарубежное,чарльз,hit the road jack,рэй,https://123.amdm.ru/akkordi/charles_ray/106641/hit_the_road_jack/,,od7p01
разное,"из к/ф ""цвет черемухи""",я назову тебя зоренькой,,https://123.amdm.ru/akkordi/igor_nikolaev/107208/ya_nazovu_tebya_zorenkoy/,,aed0j8
разное,,бублички,,http://akkordbard.ru/poispolnitelem/863-narodnye-pesni/71950-bublichki,,koah4e
разное,,цыпленок жареный,,https://123.amdm.ru/akkordi/andrey_makarevich/123334/ciplyonok_zhareniy/,,5lp2lm
разное,,мурка,,https://123.amdm.ru/akkordi/blatnye_pesni/15152/murka/,,nq1skl
разное,,сулико,,https://123.amdm.ru/akkordi/kalevala/126484/ti_zh_mene_pidmanula/,,p55vik
разное,,ты ж мэнэ пидманула,,https://123.amdm.ru/akkordi/kalevala/126484/ti_zh_mene_pidmanula/,,enfjj5
разное,,за окном черемуха колышется,,https://123.amdm.ru/akkordi/nadezhda_kadisheva/177647/pod_oknom_cheryomuha_kolishetsya/,,4stfbl
разное,,вот кто-то с горочки спустился,,"https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/102334/vot_kto_to_s_gorochki_spustilsya/#:~:text=%D0%B8%20%D0%B7%D0%B0%D1%81%D1%82%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%81%D0%BD%D0%B8-,%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5%20%D0%B8%20%D0%B7%D0%B0%D1%81%D1%82%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%81%D0%BD%D0%B8%20%2D%20%D0%92%D0%BE%D1%82%20%D0%BA%D1%82%D0%BE,%D1%82%D0%BE%20%D1%81%20%D0%B3%D0%BE%D1%80%D0%BE%D1%87%D0%BA%D0%B8%20%D1%81%D0%BF%D1%83%D1%81%D1%82%D0%B8%D0%BB%D1%81%D1%8F%2C%20%D0%B0%D0%BA%D0%BA%D0%BE%D1%80%D0%B4%D1%8B&text=Am%20E7%20Am%20E7%20Am,%D0%9E%D0%BD%D0%B0%20%D1%81%20%D1%83%D0%BC%D0%B0%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D1%81%D0%B2%D0%B5%D0%B4%D0%B5%D1%82.",,gbbern
разное,,коробейники,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/139487/korobeyniki/,,ynn8ir
разное,,"каким ты был, таким остался",,"https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/14279/kakim_ti_bil/#:~:text=A7%20Dm%20Gm%20A7%20Dm,%D0%A7%D1%82%D0%BE%20%D0%BD%D0%B5%D1%82%D1%83%20%D1%81%D0%B8%D0%BB%20%D1%82%D0%B5%D0%B1%D1%8F%20%D0%B7%D0%B0%D0%B1%D1%8B%D1%82%D1%8C.",,zpwcku
разное,,виновата ли я,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/144691/vinovata_li_ya/,,fedrvp
разное,,ой то не вечер,,"https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/166044/oy_to_ne_vecher/#:~:text=Am%20E%20%D0%9E%D0%B9%2C%20%D1%82%D0%BE%20%D0%BD%D0%B5%20%D0%B2%D0%B5%D1%87%D0%B5%D1%80.,%D0%9E%D1%85%2C%20%D0%B4%D0%B0%20%D0%B2%D0%BE%20%D1%81%D0%BD%D0%B5%20%D0%BF%D1%80%D0%B8%D0%B2%D0%B8%D0%B4%D0%B5%D0%BB%D0%BE%D1%81%D1%8C.",,4s59jd
разное,,чёрный ворон,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/173363/cherniy_voron/,,bvrtrr
разное,,мой костёр в тумане светит,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/192981/moy_koster_v_tumane_svetit/,,2j6jzz
разное,,ой цветёт калина в поле у ручья,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/24295/oy_cvetet_kalina/,,isecsd
разное,,валенки ,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/90410/valenki/,,2ntsoj
разное,,миленький ты мой,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/90482/milenkiy_ti_moy/,,bmp7pa
разное,,крутится вертится шар голубой,,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/146541/krutitsya_vertitsya_shar_goluboy_kf_trilogiya_o_maksime/#:~:text=%D0%B1%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8E%20%D1%85%D0%BE%D1%87%D0%B5%D1%82%20%D1%83%D0%BA%D1%80%D0%B0%D1%81%D1%82%D1%8C.-,Am%20%D0%9A%D1%80%D1%83%D1%82%D0%B8%D1%82%D1%81%D1%8F%2C%20%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D1%82%D1%81%D1%8F%20%D1%88%D0%B0%D1%80%20%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B9%2C%20Dm%20Am%20%D0%9A%D1%80%D1%83%D1%82%D0%B8%D1%82%D1%81%D1%8F%2C%20%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D1%82%D1%81%D1%8F,A7%20%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8E%20%D0%B2%D0%B8%D0%B4%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B8%D0%B4%D1%91%D1%82%D1%81%D1%8F%20%D1%83%D0%BA%D1%80%D0%B0%D1%81%D1%82%D1%8C.",,rahmbm
разное,,москва златоглавая (конфетки бараночки),,https://mytabs.ru/akkordy/v-r/vladimir-troshin/moskva-zlatoglavaya_360862.html,,1j0d9w
разное,,очи чёрные,,https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/92490/ochi_chernie/,,c7h63x
русская поп-музыка,агузарова,луч,жанна,http://akkordbard.ru/poispolnitelem/528-aguzarova/83150-luch,,x7pxk3
русская поп-музыка,агутин,на сиреневой луне,леонид,https://muzland.ru/songs.html?auth=68&song=24,,7ztx78
русская поп-музыка,агутин,ай-ай-ай,леонид,https://www.5lad.ru/akkordy/leonid-agutin/aj-aj-aj,,aqmsfn
русская поп-музыка,айова,маршрутка ,,https://123.amdm.ru/akkordi/iowa/163622/marshrutka/,,q4im0q
русская поп-музыка,аллегрова,младший лейтенант,ирина,https://123.amdm.ru/akkordi/allegrova_irina/144650/mladshiy_leytenant/,,uhxkig
русская поп-музыка,аллегрова ,шальная императрица ,ирина,https://123.amdm.ru/akkordi/irina_alegrova/116636/imperatrica/,,p15pmv
русская поп-музыка,анциферова,ищу тебя (всегда быть рядом не могут люди),татьяна,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15334/vsegda_bit_ryadom_kf_31_iynya/,,iqf9ib
русская поп-музыка,белорусских,мокрые кросы,тима,https://123.amdm.ru/akkordi/tima_belorusskih/165225/mokrie_krossi/,,5zffb9
русская поп-музыка,белорусских,незабудка,тима,https://123.amdm.ru/akkordi/tima_belorusskih/166136/nezabudka/,,3re6y7
русская поп-музыка,билан,невозможное возможно,дима,https://123.amdm.ru/akkordi/bilan_dima/91825/nevozmozhnoe_vozmozhno/,,bqqfon
русская поп-музыка,билан,мечтатели,дима,https://123.amdm.ru/akkordi/dima_bilan/112338/mechtateli/,,qpn2hr
русская поп-музыка,билан,believe me ,дима,https://123.amdm.ru/akkordi/dima_bilan/92859/belive_me/,,7jxbil
русская поп-музыка,блестящие,а я всё летала,,https://123.amdm.ru/akkordi/blestaschie/23209/a_ya_vse_letala/,,cw9mwo
русская поп-музыка,блестящие,восточные сказки,,https://123.amdm.ru/akkordi/blestaschie/90747/vostochnie_skazki/,,75otd1
русская поп-музыка,бузова,под звуки поцелуев,ольга,https://123.amdm.ru/akkordi/olga_buzova/153596/pod_zvuki_poceluev/,,gv2m0t
русская поп-музыка,буланова,не плачь,татьяна,https://123.amdm.ru/akkordi/tatyana_bulanova/3181/ne_plach/,,ijnuss
русская поп-музыка,бумбокс,вахтёрам (я помню белые обои),,https://123.amdm.ru/akkordi/bumboks/92370/vahteram/,,a6ej62
русская поп-музыка,бумбокс ,на 8-м этаже,,https://123.amdm.ru/akkordi/bumboks/115505/hottabich_dzhin_na_vosmom_etazhe/,,ut8l1a
русская поп-музыка,ваенга,снова стою одна,елена,http://akkordbard.ru/poispolnitelem/133-vaenga-elena/58548-snova-kuryu-mama,,hgk8fi
русская поп-музыка,виа гра,притяженья больше нет (сто шагов назад),,https://123.amdm.ru/akkordi/via_gra/167869/sto_shagov_nazad_prityazhenya_bolshe_net/,,jrrsr7
русская поп-музыка,виа гра,попытка №5,,https://123.amdm.ru/akkordi/via_gra/5088/popitka_5/,,gkrpta
русская поп-музыка,витас,опера #2,,https://123.amdm.ru/akkordi/vitas/4736/opera_2/,,0aupzv
русская поп-музыка,гаязовс бразерс,малиновая лада,,https://123.amdm.ru/akkordi/gayazov_brother/187054/malinovaya_lada/,,c5zheu
русская поп-музыка,глюк'oza,ненавижу,,https://123.amdm.ru/akkordi/glukoza/14829/nenavizhu/,,13fpyb
русская поп-музыка,глюк'oza,"невеста (я буду вместо, вместо, вместо неё)",,https://123.amdm.ru/akkordi/glukoza/14840/nevesta/,,8uyini
русская поп-музыка,гнатюк,птица счастья (завтрашнего дня),николай,"https://123.amdm.ru/akkordi/dobri_molodci/137467/ptica_schastya/#:~:text=E%20Am%20%D0%9F%D1%82%D0%B8%D1%86%D0%B0%20%D1%81%D1%87%D0%B0%D1%81%D1%82%D1%8C%D1%8F%20%D0%B7%D0%B0%D0%B2%D1%82%D1%80%D0%B0%D1%88%D0%BD%D0%B5%D0%B3%D0%BE,%D0%97%D0%B0%D0%B2%D1%82%D1%80%D0%B0%20%D0%B1%D1%83%D0%B4%D0%B5%D1%82%20%D0%BB%D1%83%D1%87%D1%88%D0%B5%2C%20%D1%87%D0%B5%D0%BC%20%D0%B2%D1%87%D0%B5%D1%80%D0%B0.",,t8wpd1
русская поп-музыка,градусы,режиссер (враг мой бойся меня),,https://123.amdm.ru/akkordi/gradusy/129844/rezhisser/,,rfhqfo
русская поп-музыка,дискотека авария,небо,,https://123.amdm.ru/akkordi/diskoteka_avaria/89694/nebo/,,2788ar
русская поп-музыка,дэд блонд,мальчик на девятке,,https://123.amdm.ru/akkordi/dead_blonde/182491/malchik_na_devyatke/,,0f6sjb
русская поп-музыка,зарубина,на теплоходе музыка играет ,ольга,https://meddiator.ru/apina-na-teploxode-muzyka-igraet.html,,ub345t
русская поп-музыка,звери,районы кварталы,,https://123.amdm.ru/akkordi/zveri/23675/rayoni_kvartali/,,p2gpfm
русская поп-музыка,земфира,прогулка (случайно падали звёзды),,https://123.amdm.ru/akkordi/zemfira/101834/progulka/,,p4djh1
русская поп-музыка,земфира,лондон (зверь одиночка),,https://123.amdm.ru/akkordi/zemfira/122998/london/,,d1ldvp
русская поп-музыка,земфира,не отпускай,,https://123.amdm.ru/akkordi/zemfira/3139/ne_otpuskay/,,s0khwx
русская поп-музыка,земфира,искала,,https://123.amdm.ru/akkordi/zemfira/4833/iskala/,,qf04mn
